user_id,gender,age,height_feet,height_inches,weight_lb,weight_status,duration,heart_rate,body_temp_f,calories
1,M,25,5,10,176,Normal,30,110,101.2,250
2,F,32,5,4,132,Normal,45,125,102.5,320
3,M,45,6,1,220,Overweight,20,95,100.8,180
4,F,28,5,6,145,Normal,60,140,103.1,450
5,M,35,5,9,185,Overweight,35,105,101.5,280
6,F,42,5,3,155,Overweight,25,115,101.8,210
7,M,29,6,0,195,Overweight,50,130,102.8,420
8,F,38,5,5,128,Normal,40,120,102.2,300
9,M,52,5,11,210,Obese,15,90,100.5,140
10,F,24,5,7,138,Normal,55,135,103.0,400
11,M,31,5,8,168,Normal,45,115,102.0,350
12,F,47,5,2,165,Overweight,30,100,101.2,230
13,M,33,6,2,205,Overweight,40,125,102.5,380
14,F,26,5,5,125,Underweight,35,130,102.8,290
15,M,41,5,10,190,Overweight,25,95,101.0,200
16,F,55,5,1,148,Overweight,20,85,100.6,150
17,M,27,5,9,172,Normal,60,145,103.5,520
18,F,36,5,6,140,Normal,50,138,103.2,410
19,M,48,6,0,215,Obese,30,100,101.5,260
20,F,23,5,4,118,Underweight,40,125,102.4,310
21,M,39,5,11,182,Normal,55,140,103.0,480
22,F,44,5,3,152,Overweight,35,110,101.8,270
23,M,30,6,1,198,Overweight,45,120,102.2,370
24,F,50,5,5,160,Overweight,25,95,101.0,190
25,M,34,5,8,175,Normal,50,135,102.8,430
26,F,29,5,7,135,Normal,60,142,103.4,470
27,M,56,5,10,225,Obese,20,88,100.4,160
28,F,37,5,4,142,Normal,45,128,102.6,360
29,M,43,6,0,188,Normal,35,108,101.6,300
30,F,25,5,6,130,Normal,55,138,103.2,420
31,M,32,5,9,178,Normal,40,118,102.0,340
32,F,49,5,2,158,Overweight,30,98,101.2,220
33,M,28,6,2,200,Overweight,50,132,102.8,440
34,F,40,5,5,145,Normal,35,115,101.9,280
35,M,53,5,11,218,Obese,25,92,100.8,200
36,F,22,5,3,122,Normal,45,130,102.5,350
37,M,36,5,8,170,Normal,55,140,103.1,460
38,F,46,5,6,155,Overweight,30,105,101.4,240
39,M,38,6,1,195,Overweight,40,122,102.3,360
40,F,31,5,4,138,Normal,50,135,102.9,390
41,M,44,5,10,208,Obese,35,110,101.7,310
42,F,27,5,7,132,Normal,60,145,103.5,480
43,M,51,5,9,185,Overweight,20,90,100.5,170
44,F,35,5,5,148,Normal,45,125,102.4,340
45,M,26,6,0,180,Normal,50,138,102.9,420
46,F,42,5,2,162,Overweight,25,100,101.1,200
47,M,33,5,11,192,Overweight,55,142,103.2,490
48,F,48,5,6,150,Normal,30,108,101.5,250
49,M,29,5,8,174,Normal,40,125,102.2,350
50,F,54,5,3,168,Obese,35,95,101.0,230
